Unnamed: 0,dfx_time,csi_time,beamforming_en,noise_floor,sinr_eff,predicted_mcs_level,predicted_mcs
3,7000310.407000005,7000307.47299999,0,-95.25,1.620468922374669e-05,1,206.5
5,7000513.61500001,7000515.47299999,0,-95.0,2.464599357803659e-05,2,275.3
8,7000736.332000017,7000739.47299999,0,-93.5,1.899221088147938e-05,1,206.5
10,7001037.255999982,7001037.47299999,0,-95.0,1.5550570660073807e-05,1,206.5
14,7001353.006999969,7001355.47299999,0,-95.0,2.464599357803659e-05,2,275.3
15,7001457.847000003,7001458.47299999,0,-95.0,2.464599357803659e-05,2,275.3
16,7001557.639999986,7001558.47299999,0,-95.0,1.5550570660073807e-05,1,206.5
17,7001661.578000009,7001660.47299999,0,-95.0,2.464599357803659e-05,2,275.3
21,7001885.958999991,7001887.47299999,0,-95.0,2.464599357803659e-05,2,275.3
23,7002090.877999961,7002090.47299999,0,-95.0,2.464599357803659e-05,2,275.3
25,7002238.730000019,7002238.47299999,0,-95.25,1.0224467680742028e-05,1,206.5
26,7002245.226000011,7002245.47299999,0,-95.0,1.5550570660073807e-05,1,206.5
32,7002719.63499999,7002721.47299999,0,-95.25,1.620468922374669e-05,1,206.5
33,7002915.008000016,7002917.47299999,0,-95.5,6.717980273421424e-05,4,344.1
35,7003037.500999987,7003038.47299999,0,-94.75,9.409420272903897e-06,1,206.5
39,7003337.727999985,7003340.47299999,0,-95.0,2.464599357803659e-05,2,275.3
43,7003749.444000006,7003749.47299999,0,-95.0,2.464599357803659e-05,2,275.3
46,7003958.353999972,7003959.47299999,0,-95.25,2.5682701636664132e-05,2,275.3
48,7004067.213,7004070.47299999,0,-94.5,2.26515424080876e-05,1,206.5
51,7004289.592999995,7004291.47299999,0,-94.5,2.2651542408087545e-05,1,206.5
53,7004480.348999977,7004481.47299999,0,-95.5,2.674476118486012e-05,2,275.3
58,7004903.939999998,7004905.47299999,0,-95.25,2.5682701636664132e-05,2,275.3
60,7005017.417999983,7005018.47299999,0,-95.0,2.464599357803659e-05,2,275.3
63,7005219.106000006,7005223.47299999,0,-95.0,2.464599357803659e-05,2,275.3
64,7005435.370999992,7005435.47299999,0,-95.5,1.0647281202433687e-05,1,206.5
65,7005445.630999982,7005446.47299999,0,-95.0,1.5550570660073807e-05,1,206.5
66,7005453.662999988,7005456.47299999,0,-94.75,2.3635395111878463e-05,1,206.5
67,7005573.770999968,7005573.47299999,0,-95.0,1.5550570660073807e-05,1,206.5
69,7005644.427999973,7005647.47299999,0,-95.0,1.5550570660073807e-05,1,206.5
70,7005862.611000001,7005863.47299999,0,-95.5,0.00010647281202433656,5,412.9
71,7005874.15200001,7005875.47299999,0,-95.0,1.5550570660073807e-05,1,206.5
76,7006263.851000011,7006265.47299999,0,-95.0,2.464599357803659e-05,2,275.3
83,7006885.181999981,7006884.47299999,0,-95.25,2.5682701636664132e-05,2,275.3
85,7006991.40200001,7006989.47299999,0,-95.0,2.464599357803659e-05,2,275.3
87,7007200.948000014,7007199.47299999,0,-95.5,1.0647281202433687e-05,1,206.5
91,7058263.451999962,7058264.47299999,0,-95.0,3.906126744327044e-05,3,309.7
96,7058760.037,7058758.47299999,0,-94.75,5.936942828489538e-05,4,344.1
97,7058860.65899998,7058858.47299999,0,-95.0,9.811746768831814e-05,5,412.9
102,7059272.015999973,7059272.47299999,0,-95.25,0.0001022446768074202,5,412.9
108,7059702.786000013,7059703.47299999,0,-95.5,0.00010647281202433656,5,412.9
113,7060113.355000019,7060113.47299999,0,-95.25,0.0001022446768074202,5,412.9
115,7060334.139999986,7060336.47299999,0,-93.0,4.3533909882664125e-05,3,309.7
116,7060435.867999971,7060437.47299999,0,-95.0,6.190793685974246e-05,4,344.1
118,7060791.977999985,7060791.47299999,0,-95.25,4.070433898795883e-05,3,309.7
121,7061162.056999981,7061162.47299999,0,-95.5,4.238758993588295e-05,3,309.7
122,7061278.91899997,7061279.47299999,0,-95.5,2.674476118486012e-05,2,275.3
123,7061435.125,7061435.47299999,0,-94.75,2.3635395111878463e-05,1,206.5
125,7061484.550000012,7061485.47299999,0,-95.25,6.451202976564556e-05,4,344.1
126,7061593.670000017,7061596.47299999,0,-95.0,3.906126744327044e-05,3,309.7
128,7061804.381999969,7061803.47299999,0,-95.0,6.190793685974246e-05,4,344.1
130,7062008.714999974,7062011.47299999,0,-94.75,5.936942828489538e-05,4,344.1
131,7062115.571999967,7062117.47299999,0,-95.5,6.717980273421424e-05,4,344.1
132,7062223.038999975,7062225.47299999,0,-95.75,6.990904135363526e-05,4,344.1
133,7062324.647000015,7062327.47299999,0,-95.5,6.717980273421424e-05,4,344.1
134,7062432.643000007,7062431.47299999,0,-95.5,6.717980273421424e-05,4,344.1
138,7062844.675999999,7062847.47299999,0,-95.0,6.190793685974246e-05,4,344.1
141,7063162.388000011,7063163.47299999,0,-95.25,6.451202976564556e-05,4,344.1
142,7063262.423999965,7063262.47299999,0,-95.75,6.99090413536352e-05,4,344.1
143,7063271.314999998,7063273.47299999,0,-95.25,6.451202976564556e-05,4,344.1
145,7063480.275999963,7063480.47299999,0,-95.25,6.451202976564556e-05,4,344.1
148,7063691.890999973,7063693.47299999,0,-95.25,0.0001022446768074202,5,412.9
149,7063891.265999973,7063893.47299999,0,-95.5,6.717980273421424e-05,4,344.1
150,7064005.023000002,7064005.47299999,0,-94.75,2.3635395111878463e-05,1,206.5
153,7064329.297999978,7064330.47299999,0,-95.0,3.906126744327044e-05,3,309.7
154,7064516.676999986,7064517.47299999,0,-95.25,6.451202976564556e-05,4,344.1
156,7064638.676999986,7064638.47299999,0,-95.0,2.464599357803659e-05,2,275.3
157,7064723.838999987,7064724.47299999,0,-96.0,7.269721993598323e-05,4,344.1
159,7064834.014999986,7064834.47299999,0,-95.25,6.451202976564556e-05,4,344.1
160,7064936.121999979,7064936.47299999,0,-95.0,9.811746768831814e-05,5,412.9
164,7065349.389999986,7065352.47299999,0,-95.0,9.811746768831814e-05,5,412.9
165,7065361.84799999,7065363.47299999,0,-95.25,0.0001022446768074202,5,412.9
166,7065463.611999989,7065465.47299999,0,-95.25,1.0224467680742028e-05,1,206.5
171,7065879.346000016,7065882.47299999,0,-95.25,6.451202976564556e-05,4,344.1
173,7066086.032000005,7066085.47299999,0,-95.25,6.451202976564556e-05,4,344.1
174,7066096.528999984,7066098.47299999,0,-95.25,0.0001022446768074202,5,412.9
175,7066195.296999991,7066194.47299999,0,-95.25,6.451202976564556e-05,4,344.1
176,7066300.855000019,7066302.47299999,0,-95.25,0.0001022446768074202,5,412.9
178,7066503.569000006,7066503.47299999,0,-95.25,0.0001022446768074202,5,412.9
190,7067648.893999994,7067648.47299999,0,-96.0,7.269721993598323e-05,4,344.1
195,7128417.977999985,7128418.47299999,0,-95.75,1.1079836373285885e-05,1,206.5
196,7128426.11500001,7128427.47299999,0,-95.75,1.1079836373285885e-05,1,206.5
197,7128528.93900001,7128529.47299999,0,-95.5,1.0647281202433687e-05,1,206.5
198,7128632.671999991,7128635.47299999,0,-95.5,1.0647281202433687e-05,1,206.5
199,7128837.874000013,7128838.47299999,0,-95.75,1.1079836373285885e-05,1,206.5
203,7129359.182999969,7129358.47299999,0,-95.5,1.0647281202433687e-05,1,206.5
209,7130092.025999963,7130093.47299999,0,-95.75,1.1079836373285885e-05,1,206.5
211,7130354.893000007,7130357.47299999,0,-95.25,1.0224467680742028e-05,1,206.5
212,7130518.129000008,7130518.47299999,0,-95.5,6.717980273421443e-06,0,137.6
213,7130665.870999992,7130667.47299999,0,-94.75,9.409420272903897e-06,1,206.5
216,7131046.99000001,7131049.47299999,0,-95.25,1.620468922374669e-05,1,206.5
220,7131354.173999965,7131357.47299999,0,-95.0,1.5550570660073807e-05,1,206.5
221,7131557.148999989,7131555.47299999,0,-95.75,1.7560357241603783e-05,1,206.5
223,7131664.963999987,7131666.47299999,0,-95.5,1.6874803495956278e-05,1,206.5
224,7131769.471000016,7131771.47299999,0,-95.75,1.1079836373285885e-05,1,206.5
226,7131980.699000001,7131981.47299999,0,-95.25,1.620468922374669e-05,1,206.5
235,7132917.83099997,7132918.47299999,0,-95.75,1.7560357241603783e-05,1,206.5
