csi_time,predicted_mcs
7000307.47299999,344.1
7000515.47299999,344.1
7000739.47299999,344.1
7001037.47299999,344.1
7001355.47299999,344.1
7001458.47299999,344.1
7001558.47299999,344.1
7001660.47299999,344.1
7001887.47299999,344.1
7002090.47299999,344.1
7002238.47299999,344.1
7002245.47299999,344.1
7002721.47299999,344.1
7002917.47299999,344.1
7003038.47299999,344.1
7003340.47299999,344.1
7003749.47299999,344.1
7003959.47299999,344.1
7004070.47299999,344.1
7004291.47299999,344.1
7004481.47299999,344.1
7004905.47299999,344.1
7005018.47299999,344.1
7005223.47299999,344.1
7005435.47299999,344.1
7005446.47299999,344.1
7005456.47299999,344.1
7005573.47299999,344.1
7005647.47299999,344.1
7005863.47299999,344.1
7005875.47299999,344.1
7006265.47299999,344.1
7006884.47299999,344.1
7006989.47299999,344.1
7007199.47299999,344.1
7058264.47299999,344.1
7058758.47299999,344.1
7058858.47299999,275.3
7059272.47299999,344.1
7059703.47299999,275.3
7060113.47299999,275.3
7060336.47299999,344.1
7060437.47299999,275.3
7060791.47299999,275.3
7061162.47299999,275.3
7061279.47299999,275.3
7061435.47299999,275.3
7061485.47299999,275.3
7061596.47299999,275.3
7061803.47299999,275.3
7062011.47299999,275.3
7062117.47299999,275.3
7062225.47299999,275.3
7062327.47299999,275.3
7062431.47299999,275.3
7062847.47299999,275.3
7063163.47299999,275.3
7063262.47299999,275.3
7063273.47299999,275.3
7063480.47299999,275.3
7063693.47299999,344.1
7063893.47299999,275.3
7064005.47299999,275.3
7064330.47299999,275.3
7064517.47299999,275.3
7064638.47299999,275.3
7064724.47299999,275.3
7064834.47299999,275.3
7064936.47299999,275.3
7065352.47299999,275.3
7065363.47299999,344.1
7065465.47299999,206.5
7065882.47299999,275.3
7066085.47299999,275.3
7066098.47299999,344.1
7066194.47299999,344.1
7066302.47299999,275.3
7066503.47299999,275.3
7067648.47299999,275.3
7128418.47299999,206.5
7128427.47299999,206.5
7128529.47299999,206.5
7128635.47299999,206.5
7128838.47299999,206.5
7129358.47299999,206.5
7130093.47299999,206.5
7130357.47299999,206.5
7130518.47299999,206.5
7130667.47299999,206.5
7131049.47299999,206.5
7131357.47299999,206.5
7131555.47299999,206.5
7131666.47299999,206.5
7131771.47299999,206.5
7131981.47299999,206.5
7132918.47299999,206.5
7132933.47299999,206.5
7133026.47299999,206.5
7133435.47299999,206.5
7133554.47299999,206.5
7133979.47299999,206.5
7134379.47299999,206.5
7135008.47299999,206.5
7135014.47299999,206.5
7135113.47299999,206.5
7135321.47299999,206.5
7135535.47299999,206.5
7135744.47299999,206.5
7136051.47299999,206.5
7136188.47299999,206.5
7136255.47299999,206.5
7136496.47299999,206.5
7136599.47299999,206.5
7136604.47299999,206.5
7136887.47299999,206.5
7136990.47299999,206.5
7137100.47299999,206.5
7137199.47299999,206.5
7137509.47299999,206.5
7137517.47299999,206.5
7137622.47299999,206.5
7137828.47299999,206.5
7138046.47299999,206.5
7138143.47299999,206.5
7179554.47299999,206.5
7179568.47299999,206.5
7179819.47299999,206.5
7180395.47299999,206.5
7180608.47299999,206.5
7180924.47299999,206.5
7181130.47299999,206.5
7181330.47299999,206.5
7181340.47299999,206.5
7181441.47299999,206.5
7181541.47299999,275.3
7181650.47299999,275.3
7182700.47299999,206.5
7183433.47299999,206.5
7183532.47299999,206.5
7183734.47299999,206.5
7183749.47299999,206.5
7184047.47299999,206.5
7184057.47299999,206.5
7184159.47299999,206.5
7184257.47299999,206.5
7184570.47299999,206.5
7184682.47299999,206.5
7184780.47299999,206.5
7184791.47299999,206.5
7184891.47299999,206.5
7184992.47299999,206.5
7185928.47299999,206.5
7186252.47299999,206.5
7186353.47299999,206.5
7186456.47299999,206.5
7186559.47299999,206.5
7186763.47299999,206.5
7187192.47299999,206.5
7187408.47299999,206.5
7187914.47299999,206.5
7188238.47299999,206.5
7241687.47299999,206.5
7241788.47299999,344.1
7242103.47299999,206.5
7242214.47299999,206.5
7242422.47299999,206.5
7242633.47299999,206.5
7242834.47299999,206.5
7243258.47299999,206.5
7243456.47299999,206.5
7243712.47299999,206.5
7244396.47299999,206.5
7244918.47299999,206.5
7245237.47299999,206.5
7245543.47299999,206.5
7246382.47299999,206.5
7246704.47299999,206.5
7247229.47299999,206.5
7247433.47299999,206.5
7247643.47299999,206.5
7247947.47299999,206.5
7248369.47299999,206.5
7248684.47299999,206.5
7249093.47299999,206.5
7249208.47299999,206.5
7249941.47299999,206.5
7250347.47299999,206.5
7250463.47299999,206.5
7250575.47299999,206.5
7250774.47299999,275.3
7317080.47299999,206.5
7317193.47299999,206.5
7317921.47299999,206.5
7318351.47299999,206.5
7320332.47299999,206.5
7320748.47299999,206.5
7320755.47299999,206.5
7321378.47299999,206.5
7321793.47299999,206.5
7322051.47299999,206.5
7322107.47299999,206.5
7322454.47299999,206.5
7322734.47299999,206.5
7322834.47299999,206.5
7322948.47299999,206.5
7323055.47299999,206.5
7323364.47299999,206.5
7323566.47299999,206.5
7323578.47299999,206.5
7323678.47299999,206.5
7323777.47299999,206.5
7323879.47299999,206.5
7324215.47299999,275.3
7324405.47299999,275.3
7324514.47299999,275.3
7324533.47299999,206.5
7324621.47299999,275.3
7325237.47299999,275.3
7325246.47299999,275.3
7325656.47299999,206.5
7325665.47299999,275.3
7325764.47299999,206.5
7428360.47299999,206.5
7428479.47299999,206.5
7428782.47299999,206.5
7636167.47299999,275.3
7636379.47299999,309.7
7636585.47299999,309.7
7636685.47299999,309.7
7636694.47299999,275.3
7636831.47299999,206.5
7637028.47299999,206.5
7637634.47299999,275.3
7637843.47299999,275.3
7638371.47299999,275.3
7638995.47299999,275.3
7639104.47299999,275.3
7639420.47299999,309.7
7640162.47299999,206.5
7640277.47299999,275.3
7640366.47299999,275.3
7640677.47299999,275.3
7640880.47299999,275.3
7641198.47299999,275.3
7641405.47299999,275.3
7641502.47299999,275.3
7641922.47299999,275.3
7642127.47299999,309.7
7642671.47299999,275.3
7643291.47299999,275.3
7643485.47299999,275.3
7643606.47299999,275.3
7643707.47299999,275.3
7644012.47299999,275.3
7644114.47299999,275.3
7644127.47299999,275.3
7644324.47299999,275.3
7644849.47299999,275.3
7645052.47299999,275.3
7645063.47299999,275.3
7667325.47299999,275.3
7667433.47299999,275.3
7667533.47299999,275.3
7667749.47299999,275.3
7667951.47299999,206.5
7668168.47299999,206.5
7668524.47299999,275.3
7669001.47299999,275.3
7669012.47299999,275.3
7669234.47299999,275.3
7669426.47299999,206.5
7669529.47299999,206.5
7669633.47299999,206.5
7669737.47299999,275.3
7669747.47299999,275.3
7669846.47299999,206.5
7670485.47299999,206.5
